filing_id,client,registrant,amount_usd,filing_period,lobbied_about,public_commitment,commitment_source,ai_judgment
EVAL-0001,Marrowdean Utilities,Lansdowne Public Affairs,210000,2025 Q1,Supporting the reliability standard that would require its coal units to remain available through 2040.,Publicly committed to retiring its coal units by 2035.,2024 climate pledge,Contradicts
EVAL-0002,Brackenmoor Energy Holdings,Harrowgate Strategies LLC,275000,2025 Q1,Seeking to expand the voluntary carbon credit market so that companies can buy offsets against the emissions they report.,Publicly committed to doing its part to solve climate change.,2024 climate statement,Unclear
EVAL-0003,Rushmere Packaging Group,Pell & Doverton Group,64000,2025 Q1,Seeking to move the recyclable-packaging mandate's compliance date from 2027 to 2032.,Publicly committed to making all of its packaging recyclable by 2027.,2023 packaging pledge,Contradicts
EVAL-0004,Duncarrow Mining Company,Calderon Federal Advocacy,118000,2025 Q1,"Seeking to open the Ravensfell wilderness tract, which it leased in 2014, to new mining.","Publicly committed to opening no new mine inside a designated wilderness area, other than on leases it held before 2010.",2023 lands pledge,Contradicts
EVAL-0005,Hollybourne Retail Group,Okonjo & Reyes Consulting,132000,2025 Q2,Opposing the petition to exempt retail employers from the $18 federal wage floor.,Publicly committed to paying every store employee at least $18 an hour.,2024 pay pledge,Matches
EVAL-0006,Fenwick Data Systems,Harrowgate Strategies LLC,196000,2025 Q2,Opposing the lawful-access mandate that would require providers to hold a decryption key for customer records.,Publicly committed to keeping customer records encrypted end to end.,2023 privacy pledge,Matches
EVAL-0007,Ashlow Chemical Works,Blythe & Marrow LLP,158000,2025 Q2,"Supporting the rule that bans industrial use of trichlorethene, and supporting the amendment that sets its effective date at 2030 rather than 2027.",Publicly committed to phasing trichlorethene out of its plants by 2030.,2024 chemicals pledge,Matches
EVAL-0008,Ridgeway Poultry Cooperative,Pell & Doverton Group,41000,2025 Q2,Seeking to keep the exemption that lets contract growers use routine antibiotics in flocks the cooperative does not own.,Publicly committed to ending routine antibiotic use in the flocks it owns.,2023 animal health pledge,Unclear
EVAL-0009,Thornbury Steel Works,Calderon Federal Advocacy,167000,2025 Q3,Seeking tariff relief on imported metallurgical coke.,Publicly committed to cutting the carbon intensity of its steel by 40% by 2032.,2024 decarbonisation plan,Unclear
EVAL-0010,Trescoe Telecom,Lansdowne Public Affairs,96500,2025 Q3,Opposing the rule that would require broadband providers to publish the price they charge at each address.,Publicly committed to closing the digital divide.,2024 connectivity pledge,Unclear
