client,public_commitment,commitment_source
Alder Bank Mutual,Publicly committed to disclosing the climate risk in its lending book.,2023 responsibility report
Ashgrove Grain Collective,Publicly committed to clear country-of-origin labeling on everything it sells.,2024 member pledge
Brindle Financial Mutual,Publicly committed to holding capital well above the regulatory minimum.,2023 annual report
Cedar Junction Rail Partners,Publicly committed to removing every level crossing on its network.,2024 safety pledge
Fernbrook Organic Farms Alliance,Publicly committed to farming without synthetic pesticides.,2023 member charter
Halcyon Grid Services,Publicly committed to hardening its lines against wildfire.,2024 resilience plan
Harborlight Foods Group,Publicly committed to removing single-use plastic from all its packaging by 2030.,2023 packaging pledge
Kestrel Point Airways,Publicly committed to compensating passengers for every delay it causes.,2024 passenger charter
Meridian Power Cooperative,Publicly committed to supporting a national clean electricity standard and retiring its coal plants by 2035.,2023 climate pledge
Merrick Harbor Shipyards,Publicly committed to training 500 new shipyard apprentices a year.,2024 workforce pledge
Ninefold Data Corporation,Publicly committed to giving every user one-click deletion of their data.,2023 privacy pledge
Northvale Medical Alliance,Publicly committed to capping out-of-pocket insulin at $35 a month.,2024 patient pledge
Tessellate Health Systems,Publicly committed to cutting prior authorization delays for patients.,2024 patient pledge
Vantor Semiconductor Works,Publicly committed to paying its full statutory tax rate in every country it operates in.,2023 tax principles
Windrow Turbine Holdings,Publicly committed to building out offshore wind capacity.,2024 investor letter
