doc_id,entity_id,source_class,title,body,published_at,url
exxon_2024_annual,C:exxonmobil,financial_disclosure,ExxonMobil 2024 Annual Report,"We are committed to providing affordable energy while reducing emissions. We support market-based mechanisms for carbon pricing, including a carbon tax with revenue recycled to consumers. Our Low Carbon Solutions business is investing $20B over five years.",2024-03-15,https://corporate.exxonmobil.com/2024-annual
exxon_ceo_speech,C:exxonmobil,corporate_media,Darren Woods at CERAWeek 2024,"The energy transition will take decades. We need a balanced approach. Aggressive policies that constrain supply before alternatives are at scale will hurt consumers and harm energy security. We oppose policies that ban specific technologies.",2024-03-18,https://corporate.exxonmobil.com/ceraweek-2024
shell_strategy_day,C:shell,corporate_media,Shell Capital Markets Day 2024,"Shell supports the goals of the Paris Agreement. We will achieve net-zero by 2050. We support a strong global price on carbon. We are investing in renewable power and biofuels at scale.",2024-06-14,https://www.shell.com/cmd-2024
shell_cdp,C:shell,cdp_response,Shell CDP Climate Response 2024,"Shell publicly endorses the IPCC AR6 conclusions on the urgency of emissions reductions. We support government regulation of methane emissions and well-designed carbon pricing systems.",2024-08-10,https://cdp.net/shell-2024
bp_advert_uk,C:bp,paid_climate_advertising,BP Reimagine Energy Campaign UK,"We're getting to net-zero. By 2030 we'll have 50 GW of renewables capacity and EV charging across the UK.",2024-02-01,https://bp.com/reimagine
totalenergies_lobbying,C:totalenergies,lobbying_register,TotalEnergies EU Transparency Register entry,"TotalEnergies engages with the EU on the Net Zero Industry Act and the Carbon Border Adjustment Mechanism. Position: support a phased CBAM with provisions to protect EU competitiveness.",2024-04-22,https://ec.europa.eu/transparency-register/total
api_epa_letter,A:api,regulatory_consultation,API Letter to EPA on Methane Rule,"The proposed methane rule will impose excessive costs on small operators without commensurate environmental benefit. We urge the EPA to substantially weaken the leak detection requirements and extend compliance timelines.",2024-01-30,https://www.epa.gov/api-comment-2024
acea_eu_2035,A:acea,regulatory_consultation,ACEA Submission on EU 2035 ICE Phase-out,"ACEA cannot support the proposed 2035 ICE phase-out without flexibility for e-fuels and a level playing field for synthetic fuels. We oppose the regulation as drafted.",2024-05-08,https://acea.auto/eu-2035-2024
nextera_cdp,C:nextera_energy,cdp_response,NextEra CDP Climate Response 2024,"NextEra strongly supports renewable energy policies including extension of the production tax credit. We support carbon pricing as the most economically efficient way to reduce emissions.",2024-09-10,https://cdp.net/nextera-2024
volkswagen_speech,C:volkswagen,corporate_media,VW Group CEO at Munich Mobility 2024,"Volkswagen supports the EU's 2035 transition target. We will not lobby against it. We see e-mobility as the only viable path for passenger vehicles.",2024-09-04,https://volkswagenag.com/munich-2024
toyota_strategy,C:toyota,corporate_media,Toyota Hydrogen Strategy 2024,"Toyota believes a multi-pathway approach including hydrogen and hybrids is essential. We caution against policies that mandate a single technology. We oppose 2035 ICE bans without credit for hybrid technologies.",2024-07-22,https://global.toyota/hydrogen-2024
us_chamber_position,A:us_chamber,corporate_media,U.S. Chamber Energy & Climate Position Paper 2024,"The Chamber supports an all-of-the-above energy strategy. We oppose policies that pick winners and losers among technologies. We are concerned that aggressive emissions targets will harm U.S. competitiveness.",2024-06-05,https://www.uschamber.com/climate-2024
